"id","slug","title_ar","title_en","short_description","category_id","engine_type","is_active","model_alias","provider_strategy","requires_auth","created_at","updated_at","category_label","media_candidate","media_reasons"
"d4f52c9f-987a-429c-bce3-3159ad180e37","video-trimmer","قص الفيديو أونلاين","Online Video Trimmer","حدد وقت البداية والنهاية واقص الفيديو محليًا دون رفع الملف إلى الخادم.","774037bf-2a06-42e8-8ab4-3d2fcc093791","custom_runtime","true",,"primary_with_fallback","false","2026-08-01T23:37:42.999058+00:00","2026-08-01T23:37:42.999058+00:00","media-tools أدوات الفيديو والوسائط Video & Media Tools","true","text:video|media|فيديو|وسائط"
"ee8d7d79-a2ac-4f64-b481-bbeddb3eb0ca","video-compressor","ضاغط الفيديو","Video Compressor","قلّل حجم الفيديو مع اختيار الجودة والدقة، وتتم المعالجة داخل جهازك.","774037bf-2a06-42e8-8ab4-3d2fcc093791","custom_runtime","true",,"primary_with_fallback","false","2026-08-01T23:37:42.999058+00:00","2026-08-01T23:37:42.999058+00:00","media-tools أدوات الفيديو والوسائط Video & Media Tools","true","text:video|media|فيديو|وسائط"
"7207f80c-cd79-4fa7-853b-14c452b6daac","video-format-converter","محول صيغ الفيديو","Video Format Converter","حوّل الفيديو محليًا بين MP4 وWebM وMOV أو استخرج الصوت بصيغة MP3 وWAV.","774037bf-2a06-42e8-8ab4-3d2fcc093791","custom_runtime","true",,"primary_with_fallback","false","2026-08-01T23:37:42.999058+00:00","2026-08-01T23:37:42.999058+00:00","media-tools أدوات الفيديو والوسائط Video & Media Tools","true","text:video|media|فيديو|صوت|وسائط"
"bca211a8-6d92-47a0-ae7a-6e7570cdad57","direct-video-downloader","تحميل فيديو من رابط مباشر","Direct Video Downloader","نزّل ملف فيديو مباشر تملكه أو لديك تصريح باستخدامه، دون تجاوز حماية المنصات أو DRM.","774037bf-2a06-42e8-8ab4-3d2fcc093791","custom_runtime","true",,"primary_with_fallback","false","2026-08-01T23:37:42.999058+00:00","2026-08-01T23:37:42.999058+00:00","media-tools أدوات الفيديو والوسائط Video & Media Tools","true","text:video|media|فيديو|وسائط"
