"tool_id","tool_slug","workflow_slug","is_primary"
"026685e0-6d13-4736-b66c-0d862eceb8c7","whatsapp-message-writer","workflow-whatsapp-message-writer-quick","false"
"026685e0-6d13-4736-b66c-0d862eceb8c7","whatsapp-message-writer","workflow-whatsapp-message-writer-professional","false"
"544e0be2-869e-4b47-9d84-eabc3b5f3d83","video-script-generator","workflow-video-script-generator-quick","false"
"544e0be2-869e-4b47-9d84-eabc3b5f3d83","video-script-generator","workflow-video-script-generator-professional","false"
"188def61-24cc-4321-a3e3-de869b62473f","social-post-generator","workflow-social-post-generator-quick","false"
"188def61-24cc-4321-a3e3-de869b62473f","social-post-generator","workflow-social-post-generator-professional","false"
"25770c72-f02b-45d4-af02-c6642fad983e","product-description-generator","workflow-product-description-generator-quick","false"
"25770c72-f02b-45d4-af02-c6642fad983e","product-description-generator","workflow-product-description-generator-professional","false"
"b996877a-cad2-46bf-873b-02551517c0cb","text-summarizer","workflow-text-summarizer-quick","false"
"b996877a-cad2-46bf-873b-02551517c0cb","text-summarizer","workflow-text-summarizer-professional","false"
"74601ad6-8cc8-4253-99e4-4b1b3451367f","content-rewriter","workflow-content-rewriter-quick","false"
"74601ad6-8cc8-4253-99e4-4b1b3451367f","content-rewriter","workflow-content-rewriter-professional","false"
"152fb4c9-333d-4e0f-a58f-6e6803dd0cab","content-writing-assistant","workflow-content-writing-assistant-quick","false"
"152fb4c9-333d-4e0f-a58f-6e6803dd0cab","content-writing-assistant","workflow-content-writing-assistant-professional","false"
"33a58c1f-441e-47c9-96cf-40032310d2de","ad-copy-generator","workflow-ad-copy-generator-quick","false"
"33a58c1f-441e-47c9-96cf-40032310d2de","ad-copy-generator","workflow-ad-copy-generator-professional","false"
"be888804-c13e-4637-b472-9c0ddc620e84","proposal-writer","workflow-proposal-writer-quick","false"
"be888804-c13e-4637-b472-9c0ddc620e84","proposal-writer","workflow-proposal-writer-professional","false"
"8d31f1c6-8ec5-473e-8a8d-c430e6da4280","meeting-summary-generator","workflow-meeting-summary-generator-quick","false"
"8d31f1c6-8ec5-473e-8a8d-c430e6da4280","meeting-summary-generator","workflow-meeting-summary-generator-professional","false"
"60424a4a-bd7c-4c99-b88f-8253aafe48d6","keyword-cluster-generator","workflow-keyword-cluster-generator-quick","false"
"60424a4a-bd7c-4c99-b88f-8253aafe48d6","keyword-cluster-generator","workflow-keyword-cluster-generator-professional","false"
"37f7e4f7-8a23-4b6a-82a4-82155c31ed1a","blog-outline-generator","workflow-blog-outline-generator-quick","false"
"37f7e4f7-8a23-4b6a-82a4-82155c31ed1a","blog-outline-generator","workflow-blog-outline-generator-professional","false"
"348e5c3c-80f5-41c5-bb38-f55a70cc5690","seo-title-description-generator","workflow-seo-title-description-generator-quick","false"
"348e5c3c-80f5-41c5-bb38-f55a70cc5690","seo-title-description-generator","workflow-seo-title-description-generator-professional","false"
"006abb67-69d9-4085-befa-37032e344c0d","youtube-description-generator","workflow-youtube-description-generator-quick","false"
"006abb67-69d9-4085-befa-37032e344c0d","youtube-description-generator","workflow-youtube-description-generator-professional","false"
"1a4aed76-7839-419f-a710-b20c9c00a4ff","call-to-action-generator","workflow-call-to-action-generator-quick","false"
