"workflow_slug","skill_slug","sort_order"
"workflow-text-counter-standard","skill-engine-text","20"
"workflow-remove-line-breaks-standard","skill-text-tools-text-transformation","10"
"workflow-remove-line-breaks-standard","skill-engine-text","20"
"workflow-hashtag-generator-standard","skill-text-tools-generation","10"
"workflow-hashtag-generator-standard","skill-engine-text","20"
"workflow-punctuation-remover-standard","skill-text-tools-removal","10"
"workflow-punctuation-remover-standard","skill-engine-text","20"
"workflow-whitespace-cleaner-standard","skill-text-tools-cleaning","10"
"workflow-whitespace-cleaner-standard","skill-engine-text","20"
"workflow-whatsapp-message-writer-quick","skill-ai-writing-tools-writing","10"
"workflow-whatsapp-message-writer-quick","skill-engine-ai","20"
"workflow-whatsapp-message-writer-professional","skill-ai-writing-tools-writing","10"
"workflow-whatsapp-message-writer-professional","skill-engine-ai","20"
"workflow-video-script-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-video-script-generator-quick","skill-engine-ai","20"
"workflow-video-script-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-video-script-generator-professional","skill-engine-ai","20"
"workflow-social-post-generator-quick","skill-social-media-tools-generation","10"
"workflow-social-post-generator-quick","skill-engine-ai","20"
"workflow-social-post-generator-professional","skill-social-media-tools-generation","10"
"workflow-social-post-generator-professional","skill-engine-ai","20"
"workflow-product-description-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-product-description-generator-quick","skill-engine-ai","20"
"workflow-product-description-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-product-description-generator-professional","skill-engine-ai","20"
"workflow-text-summarizer-quick","skill-ai-writing-tools-summarization","10"
"workflow-text-summarizer-quick","skill-engine-ai","20"
"workflow-text-summarizer-professional","skill-ai-writing-tools-summarization","10"
"workflow-text-summarizer-professional","skill-engine-ai","20"
"workflow-content-rewriter-quick","skill-ai-writing-tools-writing","10"
"workflow-content-rewriter-quick","skill-engine-ai","20"
"workflow-content-rewriter-professional","skill-ai-writing-tools-writing","10"
"workflow-content-rewriter-professional","skill-engine-ai","20"
"workflow-content-writing-assistant-quick","skill-ai-writing-tools-ai-assistance","10"
"workflow-content-writing-assistant-quick","skill-engine-ai","20"
"workflow-content-writing-assistant-professional","skill-ai-writing-tools-ai-assistance","10"
"workflow-content-writing-assistant-professional","skill-engine-ai","20"
"workflow-ad-copy-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-ad-copy-generator-quick","skill-engine-ai","20"
"workflow-ad-copy-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-ad-copy-generator-professional","skill-engine-ai","20"
"workflow-proposal-writer-quick","skill-productivity-tools-writing","10"
"workflow-proposal-writer-quick","skill-engine-ai","20"
"workflow-proposal-writer-professional","skill-productivity-tools-writing","10"
"workflow-proposal-writer-professional","skill-engine-ai","20"
"workflow-meeting-summary-generator-quick","skill-productivity-tools-generation","10"
"workflow-meeting-summary-generator-quick","skill-engine-ai","20"
"workflow-meeting-summary-generator-professional","skill-productivity-tools-generation","10"
"workflow-meeting-summary-generator-professional","skill-engine-ai","20"
"workflow-keyword-cluster-generator-quick","skill-seo-tools-generation","10"
"workflow-keyword-cluster-generator-quick","skill-engine-ai","20"
"workflow-keyword-cluster-generator-professional","skill-seo-tools-generation","10"
"workflow-keyword-cluster-generator-professional","skill-engine-ai","20"
"workflow-blog-outline-generator-quick","skill-seo-tools-generation","10"
"workflow-blog-outline-generator-quick","skill-engine-ai","20"
"workflow-blog-outline-generator-professional","skill-seo-tools-generation","10"
"workflow-blog-outline-generator-professional","skill-engine-ai","20"
"workflow-seo-title-description-generator-quick","skill-seo-tools-generation","10"
"workflow-seo-title-description-generator-quick","skill-engine-ai","20"
"workflow-seo-title-description-generator-professional","skill-seo-tools-generation","10"
"workflow-seo-title-description-generator-professional","skill-engine-ai","20"
"workflow-youtube-description-generator-quick","skill-social-media-tools-generation","10"
"workflow-youtube-description-generator-quick","skill-engine-ai","20"
"workflow-youtube-description-generator-professional","skill-social-media-tools-generation","10"
"workflow-youtube-description-generator-professional","skill-engine-ai","20"
"workflow-call-to-action-generator-quick","skill-seo-tools-generation","10"
"workflow-call-to-action-generator-quick","skill-engine-ai","20"
"workflow-call-to-action-generator-professional","skill-seo-tools-generation","10"
"workflow-call-to-action-generator-professional","skill-engine-ai","20"
"workflow-youtube-title-generator-quick","skill-social-media-tools-generation","10"
"workflow-youtube-title-generator-quick","skill-engine-ai","20"
"workflow-youtube-title-generator-professional","skill-social-media-tools-generation","10"
"workflow-youtube-title-generator-professional","skill-engine-ai","20"
"workflow-customer-service-reply-generator-quick","skill-productivity-tools-generation","10"
"workflow-customer-service-reply-generator-quick","skill-engine-ai","20"
"workflow-customer-service-reply-generator-professional","skill-productivity-tools-generation","10"
"workflow-customer-service-reply-generator-professional","skill-engine-ai","20"
"workflow-x-post-generator-quick","skill-social-media-tools-generation","10"
"workflow-x-post-generator-quick","skill-engine-ai","20"
"workflow-x-post-generator-professional","skill-social-media-tools-generation","10"
"workflow-x-post-generator-professional","skill-engine-ai","20"
"workflow-linkedin-post-generator-quick","skill-social-media-tools-generation","10"
"workflow-linkedin-post-generator-quick","skill-engine-ai","20"
"workflow-linkedin-post-generator-professional","skill-social-media-tools-generation","10"
"workflow-linkedin-post-generator-professional","skill-engine-ai","20"
"workflow-tiktok-caption-generator-quick","skill-social-media-tools-generation","10"
"workflow-tiktok-caption-generator-quick","skill-engine-ai","20"
"workflow-tiktok-caption-generator-professional","skill-social-media-tools-generation","10"
"workflow-tiktok-caption-generator-professional","skill-engine-ai","20"
"workflow-landing-page-copy-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-landing-page-copy-generator-quick","skill-engine-ai","20"
"workflow-landing-page-copy-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-landing-page-copy-generator-professional","skill-engine-ai","20"
"workflow-content-ideas-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-content-ideas-generator-quick","skill-engine-ai","20"
"workflow-content-ideas-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-content-ideas-generator-professional","skill-engine-ai","20"
"workflow-faq-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-faq-generator-quick","skill-engine-ai","20"
"workflow-faq-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-faq-generator-professional","skill-engine-ai","20"
"workflow-instagram-caption-generator-quick","skill-social-media-tools-generation","10"
"workflow-instagram-caption-generator-quick","skill-engine-ai","20"
"workflow-instagram-caption-generator-professional","skill-social-media-tools-generation","10"
"workflow-instagram-caption-generator-professional","skill-engine-ai","20"
"workflow-email-writer-quick","skill-ai-writing-tools-writing","10"
"workflow-email-writer-quick","skill-engine-ai","20"
"workflow-email-writer-professional","skill-ai-writing-tools-writing","10"
"workflow-email-writer-professional","skill-engine-ai","20"
"workflow-slogan-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-slogan-generator-quick","skill-engine-ai","20"
"workflow-slogan-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-slogan-generator-professional","skill-engine-ai","20"
"workflow-business-name-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-business-name-generator-quick","skill-engine-ai","20"
"workflow-business-name-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-business-name-generator-professional","skill-engine-ai","20"
"workflow-headline-generator-quick","skill-ai-writing-tools-generation","10"
"workflow-headline-generator-quick","skill-engine-ai","20"
"workflow-headline-generator-professional","skill-ai-writing-tools-generation","10"
"workflow-headline-generator-professional","skill-engine-ai","20"
"workflow-proofreading-assistant-quick","skill-ai-writing-tools-ai-assistance","10"
"workflow-proofreading-assistant-quick","skill-engine-ai","20"
"workflow-proofreading-assistant-professional","skill-ai-writing-tools-ai-assistance","10"
"workflow-proofreading-assistant-professional","skill-engine-ai","20"
"workflow-square-root-calculator-standard","skill-general-tools-calculation","10"
"workflow-square-root-calculator-standard","skill-engine-formula","20"
"workflow-ratio-calculator-standard","skill-general-tools-calculation","10"
"workflow-ratio-calculator-standard","skill-engine-formula","20"
"workflow-sample-size-calculator-standard","skill-general-tools-calculation","10"
"workflow-sample-size-calculator-standard","skill-engine-formula","20"
"workflow-gpa-4-to-5-converter-standard","skill-education-tools-conversion","10"
"workflow-gpa-4-to-5-converter-standard","skill-engine-formula","20"
"workflow-cbm-calculator-standard","skill-converter-tools-calculation","10"
"workflow-cbm-calculator-standard","skill-engine-formula","20"
"workflow-centimeter-to-meter-converter-standard","skill-converter-tools-conversion","10"
"workflow-centimeter-to-meter-converter-standard","skill-engine-formula","20"
"workflow-meter-to-kilometer-converter-standard","skill-converter-tools-conversion","10"
"workflow-meter-to-kilometer-converter-standard","skill-engine-formula","20"
